fit_name,fit_params,contains_senogenic,age,survival
eta+epsilon,eta+epsilon,True,21.25,0.0492
eta+epsilon,eta+epsilon,True,21.5,0.0424
eta+epsilon,eta+epsilon,True,21.75,0.035
eta+epsilon,eta+epsilon,True,22.0,0.0272
eta+epsilon,eta+epsilon,True,22.25,0.022
eta+epsilon,eta+epsilon,True,22.5,0.0178
eta+epsilon,eta+epsilon,True,22.75,0.0154
eta+epsilon,eta+epsilon,True,23.0,0.012
eta+epsilon,eta+epsilon,True,23.25,0.0092
eta+epsilon,eta+epsilon,True,23.5,0.0058
eta+epsilon,eta+epsilon,True,23.75,0.0048
eta+epsilon,eta+epsilon,True,24.0,0.004
eta+epsilon,eta+epsilon,True,24.25,0.0026
eta+epsilon,eta+epsilon,True,24.5,0.002
eta+epsilon,eta+epsilon,True,24.75,0.0014
eta+epsilon,eta+epsilon,True,25.0,0.0012
eta+epsilon,eta+epsilon,True,25.25,0.0006
eta+epsilon,eta+epsilon,True,25.5,0.0006
eta+epsilon,eta+epsilon,True,25.75,0.0006
eta+epsilon,eta+epsilon,True,26.0,0.0004
eta+epsilon,eta+epsilon,True,26.25,0.0004
eta+epsilon,eta+epsilon,True,26.5,0.0002
eta+epsilon,eta+epsilon,True,26.75,0.0002
eta+epsilon,eta+epsilon,True,27.0,0.0002
eta+epsilon,eta+epsilon,True,27.25,0.0
eta+epsilon,eta+epsilon,True,27.5,0.0
eta+epsilon,eta+epsilon,True,27.75,0.0
eta+epsilon,eta+epsilon,True,28.0,0.0
eta+epsilon,eta+epsilon,True,28.25,0.0
eta+epsilon,eta+epsilon,True,28.5,0.0
eta+epsilon,eta+epsilon,True,28.75,0.0
eta+epsilon,eta+epsilon,True,29.0,0.0
eta+epsilon,eta+epsilon,True,29.25,0.0
eta+epsilon,eta+epsilon,True,29.5,0.0
eta+epsilon,eta+epsilon,True,29.75,0.0
eta+epsilon,eta+epsilon,True,30.0,0.0
eta+epsilon,eta+epsilon,True,30.25,0.0
eta+epsilon,eta+epsilon,True,30.5,0.0
eta+epsilon,eta+epsilon,True,30.75,0.0
eta+epsilon,eta+epsilon,True,31.0,0.0
eta+epsilon,eta+epsilon,True,31.25,0.0
eta+epsilon,eta+epsilon,True,31.5,0.0
eta+epsilon,eta+epsilon,True,31.75,0.0
eta+epsilon,eta+epsilon,True,32.0,0.0
eta+epsilon,eta+epsilon,True,32.25,0.0
eta+epsilon,eta+epsilon,True,32.5,0.0
eta+epsilon,eta+epsilon,True,32.75,0.0
eta+epsilon,eta+epsilon,True,33.0,0.0
eta+epsilon,eta+epsilon,True,33.25,0.0
eta+epsilon,eta+epsilon,True,33.5,0.0
eta+epsilon,eta+epsilon,True,33.75,0.0
eta+epsilon,eta+epsilon,True,34.0,0.0
eta+epsilon,eta+epsilon,True,34.25,0.0
eta+epsilon,eta+epsilon,True,34.5,0.0
eta+epsilon,eta+epsilon,True,34.75,0.0
eta+epsilon,eta+epsilon,True,35.0,0.0
beta+Xc,beta+Xc,True,0.0,1.0
beta+Xc,beta+Xc,True,0.25,1.0
beta+Xc,beta+Xc,True,0.5,0.9998
beta+Xc,beta+Xc,True,0.75,0.9994
beta+Xc,beta+Xc,True,1.0,0.9984
beta+Xc,beta+Xc,True,1.25,0.9974
beta+Xc,beta+Xc,True,1.5,0.9954
beta+Xc,beta+Xc,True,1.75,0.9922
beta+Xc,beta+Xc,True,2.0,0.9902
beta+Xc,beta+Xc,True,2.25,0.9886
beta+Xc,beta+Xc,True,2.5,0.9856
beta+Xc,beta+Xc,True,2.75,0.9828
beta+Xc,beta+Xc,True,3.0,0.9794
beta+Xc,beta+Xc,True,3.25,0.9754
beta+Xc,beta+Xc,True,3.5,0.972
beta+Xc,beta+Xc,True,3.75,0.9668
beta+Xc,beta+Xc,True,4.0,0.9608
beta+Xc,beta+Xc,True,4.25,0.9562
beta+Xc,beta+Xc,True,4.5,0.9512
beta+Xc,beta+Xc,True,4.75,0.9474
beta+Xc,beta+Xc,True,5.0,0.9422
beta+Xc,beta+Xc,True,5.25,0.937
beta+Xc,beta+Xc,True,5.5,0.9302
beta+Xc,beta+Xc,True,5.75,0.9216
beta+Xc,beta+Xc,True,6.0,0.9134
beta+Xc,beta+Xc,True,6.25,0.9064
beta+Xc,beta+Xc,True,6.5,0.9004
beta+Xc,beta+Xc,True,6.75,0.8944
beta+Xc,beta+Xc,True,7.0,0.8856
beta+Xc,beta+Xc,True,7.25,0.8764
beta+Xc,beta+Xc,True,7.5,0.8702
beta+Xc,beta+Xc,True,7.75,0.8622
beta+Xc,beta+Xc,True,8.0,0.8528
beta+Xc,beta+Xc,True,8.25,0.8424
beta+Xc,beta+Xc,True,8.5,0.8332
beta+Xc,beta+Xc,True,8.75,0.8246
beta+Xc,beta+Xc,True,9.0,0.8144
beta+Xc,beta+Xc,True,9.25,0.8038
beta+Xc,beta+Xc,True,9.5,0.7942
beta+Xc,beta+Xc,True,9.75,0.7816
beta+Xc,beta+Xc,True,10.0,0.7704
beta+Xc,beta+Xc,True,10.25,0.757
beta+Xc,beta+Xc,True,10.5,0.745
beta+Xc,beta+Xc,True,10.75,0.7338
beta+Xc,beta+Xc,True,11.0,0.7208
beta+Xc,beta+Xc,True,11.25,0.7078
beta+Xc,beta+Xc,True,11.5,0.6942
beta+Xc,beta+Xc,True,11.75,0.6816
beta+Xc,beta+Xc,True,12.0,0.6704
beta+Xc,beta+Xc,True,12.25,0.6578
beta+Xc,beta+Xc,True,12.5,0.6456
beta+Xc,beta+Xc,True,12.75,0.6326
beta+Xc,beta+Xc,True,13.0,0.621
beta+Xc,beta+Xc,True,13.25,0.6078
beta+Xc,beta+Xc,True,13.5,0.594
beta+Xc,beta+Xc,True,13.75,0.5788
beta+Xc,beta+Xc,True,14.0,0.5628
beta+Xc,beta+Xc,True,14.25,0.55
beta+Xc,beta+Xc,True,14.5,0.5364
beta+Xc,beta+Xc,True,14.75,0.5212
beta+Xc,beta+Xc,True,15.0,0.5052
beta+Xc,beta+Xc,True,15.25,0.4906
beta+Xc,beta+Xc,True,15.5,0.4778
beta+Xc,beta+Xc,True,15.75,0.4622
beta+Xc,beta+Xc,True,16.0,0.4462
beta+Xc,beta+Xc,True,16.25,0.4282
beta+Xc,beta+Xc,True,16.5,0.413
beta+Xc,beta+Xc,True,16.75,0.399
beta+Xc,beta+Xc,True,17.0,0.3852
beta+Xc,beta+Xc,True,17.25,0.3674
beta+Xc,beta+Xc,True,17.5,0.3524
beta+Xc,beta+Xc,True,17.75,0.336
beta+Xc,beta+Xc,True,18.0,0.3228
beta+Xc,beta+Xc,True,18.25,0.3098
beta+Xc,beta+Xc,True,18.5,0.2942
beta+Xc,beta+Xc,True,18.75,0.279
beta+Xc,beta+Xc,True,19.0,0.2674
beta+Xc,beta+Xc,True,19.25,0.2552
beta+Xc,beta+Xc,True,19.5,0.2426
beta+Xc,beta+Xc,True,19.75,0.229
beta+Xc,beta+Xc,True,20.0,0.2146
beta+Xc,beta+Xc,True,20.25,0.2036
beta+Xc,beta+Xc,True,20.5,0.194
beta+Xc,beta+Xc,True,20.75,0.184
beta+Xc,beta+Xc,True,21.0,0.1736
beta+Xc,beta+Xc,True,21.25,0.1632
beta+Xc,beta+Xc,True,21.5,0.1514
beta+Xc,beta+Xc,True,21.75,0.142
beta+Xc,beta+Xc,True,22.0,0.1318
beta+Xc,beta+Xc,True,22.25,0.1256
beta+Xc,beta+Xc,True,22.5,0.1166
beta+Xc,beta+Xc,True,22.75,0.1082
beta+Xc,beta+Xc,True,23.0,0.1014
beta+Xc,beta+Xc,True,23.25,0.0952
beta+Xc,beta+Xc,True,23.5,0.0868
beta+Xc,beta+Xc,True,23.75,0.0794
beta+Xc,beta+Xc,True,24.0,0.0732
beta+Xc,beta+Xc,True,24.25,0.0672
beta+Xc,beta+Xc,True,24.5,0.061
beta+Xc,beta+Xc,True,24.75,0.0554
beta+Xc,beta+Xc,True,25.0,0.0496
beta+Xc,beta+Xc,True,25.25,0.0438
beta+Xc,beta+Xc,True,25.5,0.0406
beta+Xc,beta+Xc,True,25.75,0.0358
beta+Xc,beta+Xc,True,26.0,0.0324
beta+Xc,beta+Xc,True,26.25,0.0294
beta+Xc,beta+Xc,True,26.5,0.0268
beta+Xc,beta+Xc,True,26.75,0.023
beta+Xc,beta+Xc,True,27.0,0.0196
beta+Xc,beta+Xc,True,27.25,0.0176
beta+Xc,beta+Xc,True,27.5,0.015
beta+Xc,beta+Xc,True,27.75,0.013
beta+Xc,beta+Xc,True,28.0,0.0112
beta+Xc,beta+Xc,True,28.25,0.0098
beta+Xc,beta+Xc,True,28.5,0.0084
beta+Xc,beta+Xc,True,28.75,0.007
beta+Xc,beta+Xc,True,29.0,0.0056
beta+Xc,beta+Xc,True,29.25,0.0048
beta+Xc,beta+Xc,True,29.5,0.0044
beta+Xc,beta+Xc,True,29.75,0.004
beta+Xc,beta+Xc,True,30.0,0.0032
beta+Xc,beta+Xc,True,30.25,0.003
beta+Xc,beta+Xc,True,30.5,0.0026
beta+Xc,beta+Xc,True,30.75,0.0024
