curve_set,topic,group,label,n_bootstrap_usable,central_best_coordinate,central_best_coordinate_class,p_eta,p_beta,p_Xc,p_epsilon,p_h_ext,p_senogenic,p_robustness,p_extrinsic,central_distance_eta,central_distance_beta,central_distance_Xc,central_distance_epsilon,central_distance_h_ext,central_best_distance,central_second_distance,central_distance_margin
xc_std_frac_low,physical_activity,Some Activity,Some Activity,300,Xc,robustness,0.023333333333333334,0.16,0.64,0.17666666666666667,0.0,0.18333333333333332,0.8166666666666667,0.0,0.11377124381589401,0.05493270625101727,0.009609086453932006,0.019902379384172587,0.13278403777623232,0.009609086453932006,0.019902379384172587,0.010293292930240582
mean_model_curve,sleep_duration,1-<5 hours,1-5 h sleep,300,h_ext,extrinsic,0.0033333333333333335,0.0,0.03,0.11666666666666667,0.85,0.0033333333333333335,0.14666666666666667,0.85,0.28695293308121606,0.19514152362682022,0.06951059669512868,0.05090763449575159,0.003034474392189719,0.003034474392189719,0.05090763449575159,0.04787316010356187
Xc_high,sleep_duration,1-<5 hours,1-5 h sleep,300,h_ext,extrinsic,0.0033333333333333335,0.0,0.06333333333333334,0.32,0.6133333333333333,0.0033333333333333335,0.38333333333333336,0.6133333333333333,0.2892984314074861,0.18958975579639448,0.05154075166830494,0.030212147817556895,0.011108313773078466,0.011108313773078466,0.030212147817556895,0.019103834044478428
Xc_low,sleep_duration,1-<5 hours,1-5 h sleep,300,h_ext,extrinsic,0.0033333333333333335,0.0,0.006666666666666667,0.03,0.96,0.0033333333333333335,0.03666666666666667,0.96,0.2839000224067924,0.20132362514929408,0.09253484431437162,0.07970263892314773,0.016206542926879026,0.016206542926879026,0.07970263892314773,0.06349609599626871
beta_high,sleep_duration,1-<5 hours,1-5 h sleep,300,h_ext,extrinsic,0.0,0.0033333333333333335,0.03666666666666667,0.28,0.68,0.0033333333333333335,0.31666666666666665,0.68,0.2843714234292181,0.1988474823113761,0.05542124679171771,0.03818484749639854,0.010663794318935866,0.010663794318935866,0.03818484749639854,0.027521053177462673
beta_low,sleep_duration,1-<5 hours,1-5 h sleep,300,h_ext,extrinsic,0.0033333333333333335,0.0,0.006666666666666667,0.05333333333333334,0.9366666666666666,0.0033333333333333335,0.06,0.9366666666666666,0.2849048521507329,0.20065564154897106,0.08544208170529635,0.06656443963093564,0.009946158224507694,0.009946158224507694,0.06656443963093564,0.056618281406427946
central,sleep_duration,1-<5 hours,1-5 h sleep,300,h_ext,extrinsic,0.0033333333333333335,0.0,0.03,0.15333333333333332,0.8133333333333334,0.0033333333333333335,0.18333333333333332,0.8133333333333334,0.28474050102915444,0.1945880728137878,0.06597346985471206,0.04602206242147524,0.0037896150670286978,0.0037896150670286978,0.04602206242147524,0.04223244735444654
epsilon_high,sleep_duration,1-<5 hours,1-5 h sleep,300,h_ext,extrinsic,0.0,0.0,0.01,0.06666666666666667,0.9233333333333333,0.0,0.07666666666666666,0.9233333333333333,0.2750504299701055,0.19063467931720288,0.07806325141612273,0.06486330199929251,0.0056579100755640545,0.0056579100755640545,0.06486330199929251,0.05920539192372845
epsilon_low,sleep_duration,1-<5 hours,1-5 h sleep,300,h_ext,extrinsic,0.0033333333333333335,0.0,0.06333333333333334,0.32666666666666666,0.6066666666666667,0.0033333333333333335,0.39,0.6066666666666667,0.2841565155669843,0.18813951188473163,0.05251196378331833,0.03062681250132956,0.011484560131911589,0.011484560131911589,0.03062681250132956,0.019142252369417974
eta_high,sleep_duration,1-<5 hours,1-5 h sleep,300,h_ext,extrinsic,0.0,0.0033333333333333335,0.02666666666666667,0.12666666666666668,0.8433333333333334,0.0033333333333333335,0.15333333333333332,0.8433333333333334,0.294685158087864,0.1999931484966612,0.0718797587141911,0.05004314803785768,0.0019292975260029315,0.0019292975260029315,0.05004314803785768,0.048113850511854746
eta_low,sleep_duration,1-<5 hours,1-5 h sleep,300,h_ext,extrinsic,0.0033333333333333335,0.0,0.03,0.13666666666666666,0.83,0.0033333333333333335,0.16666666666666666,0.83,0.2858865163221011,0.1923226762294404,0.06639930752779308,0.048045971418194555,0.0032742466848102707,0.0032742466848102707,0.048045971418194555,0.04477172473338428
