parameter,parameter_label,allowed_slope_distortion_fraction,allowed_parameter_cv,tau_ref,scale
eta,$\eta$,0.21465863453815262,0.0420325794214952,98.61640439041227,9.0
eta,$\eta$,0.21662650602409642,0.04222480557633915,98.61640439041227,9.0
eta,$\eta$,0.21859437751004018,0.0424161605888013,98.61640439041227,9.0
eta,$\eta$,0.22056224899598395,0.04260665619630718,98.61640439041227,9.0
eta,$\eta$,0.22253012048192772,0.04279630387505048,98.61640439041227,9.0
eta,$\eta$,0.2244979919678715,0.04298511484806107,98.61640439041227,9.0
eta,$\eta$,0.22646586345381528,0.04317310009295534,98.61640439041227,9.0
eta,$\eta$,0.22843373493975905,0.04336027034938412,98.61640439041227,9.0
eta,$\eta$,0.23040160642570284,0.04354663612619256,98.61640439041227,9.0
eta,$\eta$,0.2323694779116466,0.04373220770830532,98.61640439041227,9.0
eta,$\eta$,0.23433734939759038,0.0439169951633499,98.61640439041227,9.0
eta,$\eta$,0.23630522088353415,0.044101008348030296,98.61640439041227,9.0
eta,$\eta$,0.23827309236947794,0.04428425691426219,98.61640439041227,9.0
eta,$\eta$,0.2402409638554217,0.044466750315080565,98.61640439041227,9.0
eta,$\eta$,0.24220883534136547,0.044648497810330166,98.61640439041227,9.0
eta,$\eta$,0.24417670682730924,0.04482950847214809,98.61640439041227,9.0
eta,$\eta$,0.24614457831325304,0.045009791190248116,98.61640439041227,9.0
eta,$\eta$,0.2481124497991968,0.045189354677015216,98.61640439041227,9.0
eta,$\eta$,0.25008032128514057,0.04536820747241857,98.61640439041227,9.0
eta,$\eta$,0.25204819277108437,0.04554635794875103,98.61640439041227,9.0
eta,$\eta$,0.2540160642570281,0.04572381431520227,98.61640439041227,9.0
eta,$\eta$,0.2559839357429719,0.0459005846222729,98.61640439041227,9.0
eta,$\eta$,0.25795180722891564,0.04607667676603614,98.61640439041227,9.0
eta,$\eta$,0.25991967871485944,0.04625209849225346,98.61640439041227,9.0
eta,$\eta$,0.26188755020080323,0.04642685740035023,98.61640439041227,9.0
eta,$\eta$,0.263855421686747,0.04660096094725724,98.61640439041227,9.0
eta,$\eta$,0.26582329317269077,0.04677441645112351,98.61640439041227,9.0
eta,$\eta$,0.26779116465863456,0.04694723109490563,98.61640439041227,9.0
eta,$\eta$,0.26975903614457836,0.047119411929838574,98.61640439041227,9.0
eta,$\eta$,0.2717269076305221,0.04729096587879289,98.61640439041227,9.0
eta,$\eta$,0.2736947791164659,0.04746189973952258,98.61640439041227,9.0
eta,$\eta$,0.27566265060240963,0.04763222018780809,98.61640439041227,9.0
eta,$\eta$,0.2776305220883534,0.047801933780498594,98.61640439041227,9.0
eta,$\eta$,0.2795983935742972,0.04797104695845727,98.61640439041227,9.0
eta,$\eta$,0.28156626506024096,0.04813956604941357,98.61640439041227,9.0
eta,$\eta$,0.28353413654618476,0.04830749727072591,98.61640439041227,9.0
eta,$\eta$,0.28550200803212855,0.04847484673205818,98.61640439041227,9.0
eta,$\eta$,0.2874698795180723,0.0486416204379734,98.61640439041227,9.0
eta,$\eta$,0.2894377510040161,0.04880782429044764,98.61640439041227,9.0
eta,$\eta$,0.2914056224899599,0.04897346409130715,98.61640439041227,9.0
eta,$\eta$,0.2933734939759036,0.04913854554459147,98.61640439041227,9.0
eta,$\eta$,0.2953413654618474,0.04930307425884546,98.61640439041227,9.0
eta,$\eta$,0.2973092369477912,0.04946705574934261,98.61640439041227,9.0
eta,$\eta$,0.29927710843373495,0.04963049544024227,98.61640439041227,9.0
eta,$\eta$,0.30124497991967875,0.04979339866668321,98.61640439041227,9.0
eta,$\eta$,0.3032128514056225,0.049955770676815586,98.61640439041227,9.0
eta,$\eta$,0.3051807228915663,0.05011761663377388,98.61640439041227,9.0
eta,$\eta$,0.3071485943775101,0.05027894161759243,98.61640439041227,9.0
eta,$\eta$,0.3091164658634538,0.05043975062706603,98.61640439041227,9.0
eta,$\eta$,0.3110843373493976,0.050600048581557186,98.61640439041227,9.0
eta,$\eta$,0.3130522088353414,0.050759840322752076,98.61640439041227,9.0
eta,$\eta$,0.31502008032128515,0.05091913061636684,98.61640439041227,9.0
eta,$\eta$,0.31698795180722894,0.05107792415380608,98.61640439041227,9.0
eta,$\eta$,0.31895582329317274,0.05123622555377501,98.61640439041227,9.0
eta,$\eta$,0.3209236947791165,0.05139403936384691,98.61640439041227,9.0
eta,$\eta$,0.32289156626506027,0.051551370061987546,98.61640439041227,9.0
eta,$\eta$,0.324859437751004,0.051708222058037594,98.61640439041227,9.0
eta,$\eta$,0.3268273092369478,0.05186459969515493,98.61640439041227,9.0
eta,$\eta$,0.3287951807228916,0.05202050725121782,98.61640439041227,9.0
eta,$\eta$,0.33076305220883534,0.05217594894019029,98.61640439041227,9.0
eta,$\eta$,0.33273092369477913,0.05233092891345122,98.61640439041227,9.0
eta,$\eta$,0.33469879518072293,0.052485451261087814,98.61640439041227,9.0
eta,$\eta$,0.33666666666666667,0.05263952001315517,98.61640439041227,9.0
eta,$\eta$,0.33863453815261046,0.05279313914090261,98.61640439041227,9.0
eta,$\eta$,0.34060240963855426,0.05294631255796803,98.61640439041227,9.0
eta,$\eta$,0.342570281124498,0.05309904412154123,98.61640439041227,9.0
eta,$\eta$,0.3445381526104418,0.05325133763349727,98.61640439041227,9.0
eta,$\eta$,0.3465060240963856,0.053403196841500626,98.61640439041227,9.0
eta,$\eta$,0.34847389558232933,0.053554625440081285,98.61640439041227,9.0
eta,$\eta$,0.3504417670682731,0.05370562707168349,98.61640439041227,9.0
eta,$\eta$,0.35240963855421686,0.05385620532768792,98.61640439041227,9.0
eta,$\eta$,0.35437751004016066,0.05400636374940847,98.61640439041227,9.0
eta,$\eta$,0.35634538152610445,0.05415610582906383,98.61640439041227,9.0
eta,$\eta$,0.3583132530120482,0.054305435010725225,98.61640439041227,9.0
eta,$\eta$,0.360281124497992,0.05445435469124063,98.61640439041227,9.0
eta,$\eta$,0.3622489959839358,0.05460286822113634,98.61640439041227,9.0
eta,$\eta$,0.3642168674698795,0.054750978905496475,98.61640439041227,9.0
eta,$\eta$,0.3661847389558233,0.05489869000482125,98.61640439041227,9.0
eta,$\eta$,0.3681526104417671,0.05504600473586434,98.61640439041227,9.0
eta,$\eta$,0.37012048192771085,0.05519292627245034,98.61640439041227,9.0
eta,$\eta$,0.37208835341365465,0.0553394577462725,98.61640439041227,9.0
