scenario,year,age,survival,survival low,survival high
exponential,2050,73,0.910094,0.898062,0.911365
exponential,2050,74,0.899022,0.885689,0.900308
exponential,2050,75,0.886327,0.871532,0.887516
exponential,2050,76,0.872038,0.855638,0.87313
exponential,2050,77,0.855552,0.837783,0.85692
exponential,2050,78,0.837098,0.817782,0.838473
exponential,2050,79,0.816538,0.795647,0.817924
exponential,2050,80,0.793431,0.770981,0.794818
exponential,2050,81,0.767644,0.743757,0.768919
exponential,2050,82,0.73947,0.713877,0.740612
exponential,2050,83,0.708406,0.681459,0.709507
exponential,2050,84,0.674845,0.646256,0.675762
exponential,2050,85,0.638362,0.608107,0.639356
exponential,2050,86,0.599605,0.568566,0.600463
exponential,2050,87,0.558326,0.526767,0.55901
exponential,2050,88,0.515014,0.483233,0.515298
exponential,2050,89,0.470362,0.438941,0.470754
exponential,2050,90,0.424444,0.393704,0.425364
exponential,2050,91,0.378605,0.348709,0.37904
exponential,2050,92,0.332984,0.304795,0.333499
exponential,2050,93,0.288667,0.262047,0.289099
exponential,2050,94,0.246217,0.221803,0.246399
exponential,2050,95,0.205903,0.183919,0.206206
exponential,2050,96,0.169026,0.149499,0.169303
exponential,2050,97,0.136019,0.119142,0.136509
exponential,2050,98,0.106712,0.092899,0.107326
exponential,2050,99,0.081821,0.070619,0.082205
exponential,2050,100,0.061289,0.052372,0.061435
exponential,2050,101,0.044534,0.037704,0.044808
exponential,2050,102,0.031463,0.026346,0.031476
exponential,2050,103,0.02139,0.017725,0.021473
exponential,2050,104,0.014153,0.011582,0.014153
exponential,2050,105,0.009075,0.007276,0.009075
exponential,2050,106,0.005529,0.004376,0.005529
exponential,2050,107,0.003238,0.002523,0.003238
exponential,2050,108,0.001798,0.001371,0.001816
exponential,2050,109,0.000974,0.000719,0.000974
exponential,2050,110,0.0005,0.000345,0.0005
exponential,2050,111,0.000224,0.000179,0.000234
exponential,2050,112,0.0001,7.4e-05,0.000119
exponential,2050,113,5.2e-05,2.8e-05,5.2e-05
exponential,2050,114,1.9e-05,1.2e-05,1.9e-05
exponential,2050,115,1e-05,6e-06,1e-05
exponential,2050,116,6e-06,0.0,6e-06
exponential,2050,117,1e-06,0.0,1e-06
exponential,2050,118,0.0,0.0,0.0
exponential,2050,119,0.0,0.0,0.0
exponential,2050,120,0.0,0.0,0.0
exponential,2060,0,1.0,1.0,1.0
exponential,2060,1,0.999741,0.999691,0.999741
