year,Median,Top 10%,Top 1%,Top 0.01%,Median smoothed,Top 10% smoothed,Top 1% smoothed,Top 0.01% smoothed
1975,78.49781549426145,90.36171339822735,97.71686297730153,106.28667077010103,78.55344721175572,90.38098762970925,97.72081695204463,106.22536353216636
1976,78.47197403171221,90.20125643773879,97.39271215849283,105.85881838584989,78.64931059866664,90.49231035978178,97.86634312514741,106.39413902256747
1977,78.899000689908,90.75963916333403,98.11654618225708,106.66817489676855,78.74446358501119,90.58389096728287,97.95560989477852,106.47630227479915
1978,78.88992923515065,90.74499730576419,98.32264840998997,106.86905449102873,78.86825393281393,90.69512213883448,98.04347677481374,106.55203865240578
1979,78.96359847402364,90.85184853134993,98.22927974585116,106.69879283024751,79.03392949693855,90.85379593215369,98.21233215156937,106.68990853476566
1980,79.11676723327521,90.91786925598544,98.15619737747768,106.66535265813427,79.16945046882162,90.98607565422171,98.32566814966881,106.79163200582202
1981,79.30035185233533,90.99462540433485,98.23698904227093,106.54816779764923,79.3612768963552,91.13700600395012,98.3960871908915,106.79286513095761
1982,79.57660554932323,91.42103777367412,98.68322617275437,107.17679225205038,79.56866782129399,91.32275546913127,98.5645351036349,106.92387495147224
1983,79.8490613728186,91.49964905440619,98.67474361610343,106.87522011670661,79.72840577747863,91.43872302738846,98.64322725858923,106.92986716838782
1984,80.00055309871756,91.78059585725573,99.07151930956809,107.35384193282071,79.90537923538882,91.58439149959177,98.78246797891687,107.05540513253202
1985,79.91545701419847,91.49770704727142,98.54965815224935,106.69531374271212,80.0575272645688,91.69520408930875,98.85277413818503,107.07592386084823
1986,80.18521914188622,91.72296776535144,98.93319264390914,107.17585761837024,80.1431366541434,91.73801504527867,98.84277914068159,107.01018417188716
1987,80.33734569522316,91.97510072225892,99.03475696909513,107.27938589363144,80.32910474285403,91.83977161202837,98.87767257071158,106.96639530795497
1988,80.27710832069158,91.71370383425582,98.62476862858625,106.54652167190126,80.50221947943544,91.9739244939564,98.98743443563681,107.05431721166799
1989,80.93039354227072,92.28937869100426,99.24598645971805,107.1348976131598,80.65654428539963,92.09204558681226,99.03703413950424,107.04601751248845
1990,80.7810306971055,92.16847145691158,99.0984674768755,107.13492326127715,80.82239141113853,92.19465162207221,99.08663761626487,107.01668933792978
1991,80.9568431717072,92.31357322963075,99.18119116324623,107.13435912247262,81.00906751627562,92.31272194672644,99.14674967352099,107.04564293331592
1992,81.16658132391757,92.48813089855867,99.28277435289829,107.13274502083802,81.17575716585557,92.46199455502735,99.27780797667276,107.19054839337086
1993,81.21048884637706,92.30405545752691,98.9253289148669,106.69128964883193,81.3769856051013,92.60662374041405,99.39670576791295,107.29496935243647
1994,81.76384179017049,93.03574173250882,99.90127797547693,107.85942491343454,81.58150285829167,92.73387322501367,99.48446216315514,107.3378034364268
1995,81.78717289333416,92.89161738384504,99.69295643307645,107.65702805660521,81.78209648675542,92.87001740409686,99.58707782906322,107.41948370083053
1996,81.97942943765904,92.94982065262889,99.61997313945716,107.34852954242427,82.01099876702759,93.0594787612836,99.79149398651657,107.62404548205957
1997,82.16954946623636,93.16885179397464,99.79585268243869,107.5411463428567,82.13846610020289,93.0806888260706,99.75527904062712,107.53315310628064
1998,82.35500024773782,93.25136224346062,99.94740970213367,107.7140985549771,82.3171949562678,93.17829591787056,99.81019768242008,107.53934807405358
1999,82.40117845604706,93.14179205644383,99.72020324602956,107.40496303453993,82.49257973269604,93.26234058852947,99.86136234413453,107.56872825604282
2000,82.68081717365874,93.37965284284485,99.96754964204136,107.68800289546994,82.63745589695628,93.29285768895048,99.83325068533841,107.48636272113939
2001,82.85635331980025,93.37004400592339,99.87579644802938,107.49543045237048,82.79099786575767,93.37285942056556,99.86307290298757,107.45885397162651
2002,82.89393028753754,93.32143729607974,99.65529438845807,107.1293186683394,83.01612992073134,93.54751650655191,100.00032417713524,107.57921446696591
2003,83.12271009174475,93.65137090153597,100.0965207903794,107.57655480741275,83.18576399358285,93.662090649169,100.07667175639985,107.61491612170792
